id,host_response_rate,host_is_superhost,host_identity_verified,borough,property_type,room_type,accommodates,bathrooms,bedrooms,price,extra_people,availability_90,number_of_reviews,review_scores_rating,cancellation_policy,check_in_24h,air_conditioning,balcony,nature_and_views,tv,coffee_machine,cooking_basics,elevator,gym,parking,internet,pets_allowed,private_entrance,secure
35705165,50-89%,0.0,1.0,"West End, Foggy Bottom, GWU",Other,Entire home/apt,4,2.0,2.0,135,0,39,1,95-100/100,flexible,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
35707442,100%,0.0,0.0,"Howard University, Le Droit Park, Cardozo/Shaw",Apartment,Shared room,1,1.0,1.0,101,0,41,1,95-100/100,flexible,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
35708928,100%,0.0,1.0,"West End, Foggy Bottom, GWU",Apartment,Entire home/apt,5,2.0,2.0,100,0,0,0,nan,flexible,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
35711788,90-99%,0.0,0.0,"Woodridge, Fort Lincoln, Gateway",House,Entire home/apt,14,1.0,5.0,260,20,78,3,80-94/100,strict_14_with_grace_period,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
35714192,100%,0.0,0.0,"North Cleveland Park, Forest Hills, Van Ness",Apartment,Private room,1,1.0,1.0,30,0,6,1,95-100/100,flexible,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
35714910,unknown,0.0,0.0,"Brightwood Park, Crestwood, Petworth",Other,Entire home/apt,2,2.0,1.0,300,50,84,0,nan,flexible,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35717143,100%,0.0,0.0,"North Michigan Park, Michigan Park, University Heights",Apartment,Entire home/apt,2,1.0,1.0,52,0,15,0,nan,flexible,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
35717206,50-89%,0.0,0.0,"Dupont Circle, Connecticut Avenue/K Street",Other,Entire home/apt,3,1.0,1.0,150,0,53,0,nan,flexible,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
35729490,50-89%,0.0,1.0,"Ivy City, Arboretum, Trinidad, Carver Langston",House,Entire home/apt,6,1.0,2.0,155,10,50,0,nan,strict_14_with_grace_period,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
35729621,50-89%,0.0,1.0,"Ivy City, Arboretum, Trinidad, Carver Langston",House,Entire home/apt,2,1.0,1.0,90,0,56,1,nan,strict_14_with_grace_period,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
35729712,50-89%,0.0,1.0,"Ivy City, Arboretum, Trinidad, Carver Langston",House,Entire home/apt,8,2.0,3.0,156,15,0,0,nan,strict_14_with_grace_period,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
35738470,100%,0.0,1.0,"Union Station, Stanton Park, Kingman Park",Apartment,Private room,1,1.0,1.0,60,0,35,0,nan,flexible,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
35741692,100%,0.0,0.0,"Capitol Hill, Lincoln Park",Apartment,Entire home/apt,3,1.0,1.0,95,0,55,5,95-100/100,moderate,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
35743417,90-99%,0.0,0.0,"West End, Foggy Bottom, GWU",Other,Entire home/apt,2,1.0,0.0,99,0,25,0,nan,moderate,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
35743451,90-99%,0.0,1.0,"West End, Foggy Bottom, GWU",Other,Entire home/apt,3,1.0,1.0,125,0,31,2,0-79/100,moderate,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
35754590,50-89%,0.0,1.0,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Apartment,Entire home/apt,1,1.0,0.0,61,0,89,0,nan,flexible,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
35761315,100%,0.0,1.0,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",House,Entire home/apt,8,4.5,5.0,300,0,67,0,nan,flexible,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
35764525,90-99%,0.0,0.0,"Brightwood Park, Crestwood, Petworth",Apartment,Entire home/apt,5,1.0,1.0,62,10,63,2,95-100/100,flexible,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
35766831,100%,0.0,0.0,"Dupont Circle, Connecticut Avenue/K Street",Apartment,Entire home/apt,4,1.0,2.0,150,0,17,1,0-79/100,flexible,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
35771210,50-89%,0.0,0.0,"Ivy City, Arboretum, Trinidad, Carver Langston",Apartment,Entire home/apt,2,1.0,0.0,100,0,23,0,nan,flexible,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
35795693,100%,0.0,0.0,"Capitol Hill, Lincoln Park",House,Entire home/apt,4,1.0,1.0,250,0,84,1,0-79/100,flexible,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
35795747,100%,1.0,1.0,"River Terrace, Benning, Greenway, Dupont Park",House,Entire home/apt,2,1.0,0.0,70,20,0,0,nan,moderate,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
35806393,90-99%,1.0,1.0,"Shaw, Logan Circle",Apartment,Entire home/apt,2,1.0,1.0,120,0,3,0,nan,flexible,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
35806896,90-99%,0.0,0.0,"Shaw, Logan Circle",Apartment,Entire home/apt,4,1.0,1.0,259,0,86,2,0-79/100,moderate,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
